sample,function,label,source,cosine_dist_to_real,dist_bucket
"And their answer of course is, look, here was erm, there's no political or historical reason, because Wilson had all the cards in his hand.",AS,,real,,
"That's one skill thought about it, isn't there, there's another idea that doing that is actually, has the opposite effect, but the only, you praise somebody, when you're criticising, you say, well look you've well anyway.",AS,,real,,
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,real,,
"Look, it's alright to have a bit of fun with this, but the matter is deadly serious  and I use the word deadly  advisedly.",AS,,real,,
"Er, it's not in my nature to be authoritarian with my students but if I could be authoritarian I would say look, you're not allowed to use that word, and if you do you've gotta pay a pound.",AS,,real,,
"OhLook, it's just a wee light",DIR,,real,,
"Cos they would be going to their coach, or team or what have you, and saying, Look we want to.",AS,,real,,
"So if I take this one and put this one  I can superimpose the red  straight away I've superimposed a group, but look  the blue and re , and the white are out.",DIR,,real,,
"And so and we were bringing in deals and they were phoning the clients back and saying, Look yeah great alarm systems blah blah we have an alternative one cheaper",AS,,real,,
"I mean just you know the the sort of, Well look er you know it doesn't mean I won't respect you and I don't love you and all that sort of thing.",AS,,real,,
"Well, er  I asked  this, because erm, when I was having my house  it came up, and I and I pointed out to her th the astonishing anomaly, I said, look erm, everybody knows about manuscript, Ernest and his biography of Freud mentions it and says he read it and reports rather well of it, actually, was really quite impressed with it.",AS,,real,,
"You know, if not, you know, if you're very, very poor in a, in a rural area, you may think, well look, there's, there's this chance, no matter how, how slim of me getting a, sort of proper job in the urban area, thus you may well take that chance.",DM,,real,,
She will in a minute. Oh look. ,INTJ,,real,,
"Look, here, can you see this",DIR,,real,,
yeah i'd never thought about that way i don't really look [laughter] i guess i ought to sometimes,AS,,real,,
"Now look, you can't have everything!",AS,,real,,
"it's like, Aids and that  like the glue sniffing advert, for instance, put on  fo  when the children go to bed, but they should be able to see that,sho , they should be able to see  look, well that's putting a message across to me as well , not just the parents, to me, I'm the one that's involved and I think that  if  well maybe the  the producers would maybe  or the people that  do television would maybe put i  to  say, seven o'clock or that, where  young children primary school age can actually sit and watch it.",AS,,real,,
You can have theYeah.That corporate standards would apply there.Look.Whether we like it or not,DIR,,real,,
"The worst one was when we were doing one on Women's Studies and I said look, let's have your title and let's have some kind of format",AS,,real,,
"So I then rushed to the front of the building, I said Look, will you come in please?",AS,,real,,
more and more saying look  and let's try and kill a few less people.,AS,,real,,
"David Okay, look, I haven't actually had a copy. You've obviously got it there.",DM,,real,,
"Er, because w er males because of er variance of male reproductive success, another way of looking at it is to say look, males are expendable, you don't actually need a lot of males to keep all your females fertilized so you can waste them, and in fact we do waste them, for example in wars.",AS,,real,,
"you might've er  I mean you did it right, it could've been a bit stronger though, a bit more  punch to it, er punch isn't the right word erm, you know, well okay look what I'm really asking for Dave is your help, you know,  when people ask you to help what would you normally do, you'd help wouldn't you?",DM,,real,,
"It's quite funny really because er I used to go off I had an agreement with the headmaster at that particular time and he'd h I'd been a full time teacher with him, and he needed somebody desperately, that was the only reason obviously he wanted me back, and er I said Well look I can come back but I can't get back in order to go to the assembly at first.",AS,,real,,
"By opening up lines of communication, they resolved any lingering issues.",DM,,real,,
Look there's Kids' County Elizabeth where are we after?,AS,,real,,
"She's doing all these things really thrilled to bits, and I say, well look, you like this don't you?",AS,,real,,
"Right, and the background to that of course is, for those of you who may not know, Bullett was I suppose a more junior person in the State Department, when he went to Europe with Woodrow Wilson in nineteen eighteen, and nineteen whenever it was for a peace conference, and Bullett was the only one of the American delegation who resigned and confronted Wilson and said, look, you've gone back on the fourteen points, you're not doing what you said you would do",AS,,real,,
Do you want to play scrabble?  Look Isobel Let me take that,DIR,,real,,
Look forgive me and were the first of the two troops going in through that door.,AS,,real,,
"Well look folks we'll have to stop now it's gone eleven and I have to give a lecture  Joy, er that was an excellent er summary, well done.",AS,,real,,
"Erm look, flip your eyes down the bottom of the speech on page thirty one what is erm amusing which bits are amusing and describe the humour in that speech there by George?",AS,,real,,
Look can you move over here look cos it's nearly our turn.,DIR,,real,,
"Yeah, so yeah ah you're alright so you'll say yeah course I'm alright,  there's no fee, so eventually I get to the point where I said look I did say there's no fee involved but I'd, I, that's a bit of a lie because there is a fee for all the work I'm er but it comes in the form of referrals, in the form of recommendation, not actual money.",AS,,real,,
"And if a builder gonna go down there you say, Well look I've got one down here but I've got a prime slot",AS,,real,,
"So if someone had come up to you, and said, Well look, you you bet three pound, to have a go and if you get a four aces, I'll give you a million pound, then it's worth it.",AS,,real,,
You say well look I'm gonna approach this guy what sort of business are you gonna put his way or can you put his way.,AS,,real,,
"Oh look, this is where we're getting",DIR,,real,,
I just wanted to  KNOW Well look when are we having our next tutorial?,DM,,real,,
and you know i said to her well look you know if you feel you got to go go but i- i think a thousand dollars these guys i don't know what it is but there's no doubt they get kickbacks to fill these machines up night and day,AS,,real,,
"[whispering] yeah, look yeah, I'm just  yeah, yeah []",DM,,real,,
"So I asked them in the lodge like don't do any damage and Tom was in e he gave them a good lecture  so  and the lads in the lodge said, Well look you tell them as well not to do this attitude and perhaps you've seen it on these flumes when they saw a crowd that was there they were changing gear with the Land Rover and through you know like anybody in the way you'd be underneat",AS,,real,,
"Major quietly or to you quietly in some back room and said, Look I'm a bit bothered about this .",AS,,real,,
Eye's funny. Yeah. Now look it asks you for a certain number of things,AS,,real,,
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,,real,,
So where might you say  Okay look er what I'd like to do is  ask questions.,AS,,real,,
i i think they ought to take them and uh and i don't know just have sort of like a uh a a manpower pool and say okay look we need somebody,AS,,real,,
"But I said, well look, I think I'd better put it in my bag, don't you, it won't do any harm there.",AS,,real,,
and uh she keeps saying she's never going to put her mother in one and i says hey look go around look at them they're totally different than your con[cept]- concept of what it was years ago,AS,,real,,
What doesn't react very well out of that lot? Er carbon.Carbon.Well Look OxygenYou've got  three things in blast furnace gas,AS,,real,,
the kids said gosh look how many of these bus drivers are women and i said you know that really is a good indication of some of the jobs that have been,DIR,,real,,
"Look s s seriously the point the point I'm making is that for for most jobs of an average sort of size, what happens under A C E scale fees as I understand it, if I'm wrong I'm I stand corrected.",AS,,real,,
i how would you ruddy uh look uh but uh,INTJ,,real,,
that sort Look,DIR,,real,,
"The only erm exception and that's not even in your price structure, is that if somebody says, Look is there any chance I can have colour, that's the only place they can have it on the back copy back cover sorry.",AS,,real,,
Look.Sorry.That 's what it says in the document,DIR,,real,,
 He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,,real,,
"This kettle, is covered with scale, now look, see Twelve point six is asking you which one of these is causing the problem?",AS,,real,,
"Now, that's okay, I would do that, but it's much better I think to say, ‘Look, I'm sorry they're not there would you like to ring back when the board is open’, because they won't realise you're not switchboard.",AS,,real,,
Oh look ... the boys and girls are coming for play time.,AS,,real,,
"I rang yesterday I said, well look we've got the okay to palletize it now and he's quite happy about that.",AS,,real,,
"look, you're going to spill that milk if you're not careful",AS,,real,,
"O K so look let me just go through these notices er for today's tutorial period, one or two changes  erm again a thought for the week from the chaplain to begin with, during the approaching season of Lent, the best thing we can do is to centre our thoughts on what Jesus Christ did for us through his passion, death and resurrection.",AS,,real,,
"But also, look as those er, those short answers, now it's important that you answer the short answer questions well alright, because it's, it's a lot easier to get good marks on a short answer question, providing you do it well, than it is on a long answer question.",AS,,real,,
yeah and then and then some some rich yo-yo walks in there who's buddies with the bank president saying look i want to borrow,DIR,,real,,
"Look, there's a car reversing.",DIR,,real,,
and then say well look the reason why I'm here is this,AS,,real,,
"and I'm gonna suggest that you take that along with you and you say, look, this is what you get, er whenever we want it.",AS,,real,,
Look Sharon from Grantham is taking you on today.,AS,,real,,
the rest look [laughter],INTJ,,real,,
[shouting] Look!,DIR,,real,,
"I said, look pull over, let's talk about it.",AS,,real,,
peoples' families wouldn't would never stand for something like that they'd say look you need to take care of this you need to deal with this and now it's just,AS,,real,,
Look West Brom,DIR,,real,,
"No, no.Look.Natalie,Look.it's gonna look in my eye.",DIR,,real,,
"Because Derek will be able to say to me Look, do a letter to here.",DIR,,real,,
"But I said to Anne, Look I think you better get a doctor.",DM,,real,,
 lie down now. Look. He's coming in,DIR,,real,,
"Look, look, you're ",AS,,real,,
"right I'm pleased [laugh] pleased to introduce to us, er, er against all these difficulties and the nearer you are at the front the better, there's all stuff here look",DIR,,real,,
I've got this  Yeah yeah look ,AS,,real,,
"Let's  have a look, look see. There are!",DIR,,real,,
"Look, slow down, or you're driving me mad.",AS,,real,,
"Oh, look. Mm Oh, look. What? Look, that he's into Well I mean he's no problem to me",DIR,,real,,
you know i don't know why they don't unless you have to spend a certain amou[nt]- i don't know but i notice that some of them don't even. look you know they just slide it in there and pass it back to you,AS,,real,,
Er look erm Kids' County anyway who are they talking about?,AS,,real,,
"Look, I cannae give you one out of there though.",DM,,real,,
"Look, don't mess about.",AS,,real,,
"it's alright then, you've got fifty now look",DIR,,real,,
"audience.With this new approach, she received positive feedback on her presentation from both industry experts and laypeople alike.",DM,,real,,
[noise] you know if we don't want that to happen all we have to do is just call the phone company and say look you know i want my name unlisted or i want my you know,AS,,real,,
"stop here, we'll we'll cross here look. I wonder why she likes me?",DIR,,real,,
"Erm  in terms of taking up their ideas, guiding them, encouraging them etcetera  an and saying look, you know, this is okay er er er I mean to an extent that would depend on how much military security there was in the area.",AS,,real,,
"So I rang him a bit later, Now look, we've got a weeks notice, we know it's gonna take some time.",DM,,real,,
"Anyway look  Kids' County, where do you think we need Lillian?",AS,,real,,
Ben   Look. What? I do a poo.,DIR,,real,,
"Well the only think which erm, which erm  I I  and I said look  this er system  because no way  .",AS,,real,,
"Because they phone me up and said, Look we needed another half a page in this for us to get another hundred pound.",AS,,real,,
"But look, that'll make it minus five.",AS,,real,,
well great well look uh i know it's probably late for you uh enjoyed speaking with you have a good weekend bye-bye,AS,,real,,
"So I, I always think it, feel it's a good idea to say to the stallholder, stallholder look, erm if I take this home and try it on and find it won't, doesn't fit can I bring it back?",AS,,real,,
Have you seen it Amy? Look! Ha. You can have it that way up,DIR,,real,,
"And I said to them, Look I've re-costed all this, this is your new price sorted, and he said, we can't see what price increase we made.",AS,,real,,
"I haven't the faintest idea, look three four five six seven eight ",DIR,,real,,
"I said Well look, you go and get the policeman  I'll ring my solicitor up  and then we'll sort it out from there.",AS,,real,,
I said Look I'm I really am very sorry.,AS,,real,,
"So I said, well come on you've gotta be reasonable with me so I spoke to him last week and he says, look you didn't have one last year so I'll give you two.",AS,,real,,
Erm look I'll put June on from Mansfield first of all I wanted thirty seconds worth of famous dogs cos we had er why Nottinghamshire's dogs are too dumpy earlier on didn't we? [tape change],AS,,real,,
How do you spell look look,DIR,,real,,
Look when you get as old as me you'll be I'll be glad to have a head like you.,AS,,real,,
Look look quite significant.,DIR,,real,,
Ooh look ... look.,INTJ,,real,,
I could be wrong.  Look!,AS,,real,,
"Extract it, but keep it in your room alphabetically  then if the maths department say, hey look, can we have a look at that during the ",AS,,real,,
"They talk to each other and say, Well look I've got I've got this guy how did you approach that?",AS,,real,,
LOOK it'll be your bedtime  ,AS,,real,,
Look I said,AS,,real,,
Look will you promise you won't open that.,AS,,real,,
So to get back to what we say er yeah I like to fix a date and if people phone up and say well look I've I've got something else or I've changed my mind I would rather have that than to have lots of paper work on my desk that just says may be or may be not.,AS,,real,,
"What a strange place it was. LOOK here, look here Scott",DIR,,real,,
"Oh well I'll keep the insurance company  er I w er we will send them a little note in that case, saying look, you know, this is the case, it appears to be an innocent lesion she's just been finely checked over on the eighth of October, do you feel you can now proceed?",DM,,real,,
yknow look,DM,,real,,
"I mean o okay it's, it's a difficult area but I, I just don't believe the communications were that bad that he didn't know what was going on and wasn't in a position to say look this is wrong.",DM,,real,,
"We said to both of them, look you are quasi-government organizations who are sponsored by government departments there can only be one technical view",AS,,real,,
"And the same thing, that if a major client like the Health and Safety Executive said to me, Ricky we're running a regional training week in the last week of November, and we want you for three days, you know, I, I don't say to them well look you know, well two of those days are catch up days, I can't possibly do it, why don't you move your whole regional training week to next week?",DM,,real,,
i didn't even look uh see i'm living with two other people so when i when we break five hundred dollars in in in three ways,AS,,real,,
"Look, Grant! Just give me five minutes, okay?",AS,,real,,
"Well of course she came running to me, you see, and we immediately phoned for the doctor, you see but, however, and I said, look, phone for the doctor, I said, and then I said go across to the railway police just across the yard and I asked one of them to come to me and I said I will go up with her and be with her until the doctor arrived, er he was with her the police sergeant when she died.",AS,,real,,
"Look I've been there, I've seen it  got the  here we are",AS,,real,,
"Well I went and worked in a factory for about nine months I suppose, and the man himself, cos it was casting, brass castings, the man himself says, he says look son, this job's no good to you I'll tell you that.",AS,,real,,
um and i and i recall when President Bush said that you know he said look he said i you know i'm sorry that you're opposed to the war there's a lot of us that are opposed to war but uh you're not helping the people that are over there by what you're doing and i remember a lot of it kind of stopped after that,AS,,real,,
"Er but in our London office, apparently they do a lot of inheritance tax planning because of the size of estates, and they actually invite the children in, and say to the children look, you know, if erm you die, the estate will be devalued by forty thousand because of tax, er if you want to make provision the, the er the contract is still written on the erm, the erm individuals' lives, but it can then be erm  paid by the children, so your children can then pay the premiums.",AS,,real,,
"Look, we're going through sand now.",INTJ,,real,,
"It started in the Autumn of eighty-eight, when Phil approached me and said, ‘Look, we would like to consider putting our services that we do offer to finance in a more effective way’, running alongside that was a project being run by Oxfordshire Health Authority where they were sending postal surveys to elderly people; people over the age of seventy erm sixty-five at one point, and were getting back a huge amount of information on their perceived needs.",AS,,real,,
Look  puppy.,DIR,,real,,
"Well look, we won't embarrass you by asking you to tell us what it is, but what we will do",AS,,real,,
"I've just put my house on the market in York I've chosen the  if erm that's that's you know the whole taking the whole scene into consideration, but if I was in Bournemouth for instance and buying a house in York and I said I phone three or four estates agents and said, Look please send me information through the post.",AS,,real,,
"She said, well look, go back to your doctor she says.",AS,,real,,
Look you're going to finish up with nine C P O's and an A L O,AS,,real,,
"said look Ka Kath, gotta get to Plymouth tonight, I need to know.",AS,,real,,
"your brother is being naughty, he's run away up the street look! Where is Bryony?",DIR,,real,,
Look how many times have I told you to stop swinging on the handle you're tipping it over.,AS,,real,,
If I can just endorse what Stewart was saying the Parish Council talked to me as their consultant for a while and said look it seems that that with the with the actions of the er County Council writing to the Secretary of State to preempt the call-in procedures and the attitude of the District Council that this thing might well get local planning permission.,AS,,real,,
"Yeah, okay, okay well look,",AS,,real,,
"And whether it's male or female, so, number eight, and in fact, number nine as well, because number nine was that couple of questions I said look don't get confused, they are actually  [clears throat]",DM,,real,,
"you see and ther I su I suppose there was about ten or a dozen girls behind the counter because it was early and late turn for them because you see we were open, you see, until ten o'clock at night, you see, and er then, well, anyway, after that erm I heard about this job going as Assistant Manageress at Cambridge  and er so I applied and the Manager said to me, I thought well I'll be here ten years, erm I can be here until I'm  you know, donkeys years and er so he said well look you may not get a job because he said that another girl coming from Norwich to go to",DM,,real,,
"that is, that is what, that is what exists to do, or one of the things that exists to do as the UK sales company our business is to give the projections for a particular piece of business, and if we see any other similar bits of business around it that's fine, that's, that needs to be added to it, but to give our vision of that particular piece of business, feed that into the marketing people in , and say, look, this is the situation if we go this way, this is what we think is going to happen, if we do this, this is going to happen, if we don't do this, this is what's going to happen, so that that can be fed into an overall picture, and they will come back, I presume, and say, right, we now have enough information to know that it's going to be worth =vesting, investing in production of sixteen double O fours in er Peter .",AS,,real,,
We use visuals  give you something to focus on you can see everything's come out no wonder you. Look.,AS,,real,,
"LOOK, they're coming out for paly time ",INTJ,,real,,
"Erm, we heard a great, he was a great erm, refratition So when Freud and Bullett say, look, Woodrow Wilson was a great refratition and you can see him doing this in his childhood.",AS,,real,,
"look, one two three, up you go.",DIR,,real,,
No I haven't done anything yet I'm on. Look I can't do it!,AS,,real,,
"So that's [clears throat] well, before we can go in, launch into this, I mean it's often said that erm, er, well, one of the major reasons why agricultural commodity trade hasn't been included in GATT, like virtually every other er, product has been, is because governments are saying, look this is a domestic policy, it's got nothing to do with international trade, we're supporting our farmers, it's a domestic policy.",AS,,real,,
"I mean i i i in a sense I think he was, he's been criticized unfairly for, for this because he  he, he copped all the blame for absolute egalitarianism, whereas in fact if, if you look at the details behind it he was aware of the dangers of encroachment on the middle peasant and was warning against that and saying look this shouldn't happen.",AS,,real,,
"Yeah I realize that but the thing is if we'd had a phone call to say look, we're going to be this late,",AS,,real,,
". that cadres would, would, would go into a village and they would say look erm  that is the normal yield for that bit of land.",AS,,real,,
"Oh look, there's your spade, darling!",INTJ,,real,,
"he's going in your seat ag , look, you don't, you, I've told you, you want your coats on",AS,,real,,
We said look we'll bring out a price guide,DM,,real,,
"They said look, if males can have greater reproductive success than females can, then parents who have some way of knowing that their offspring are gonna be particularly reproductively successful should invest in males, whereas if they have some way of knowing that their offspring are not gonna be particularly reproductively successful, they should invest in females.",AS,,real,,
When I see them in the church I always talk to them and I said ‘Look have you got bottles?’ and sometimes they'll say yes and sometimes they'll say no.,AS,,real,,
"Er and so er, look I'm gonna make a profit of nineteen hundred.",AS,,real,,
"Look, these people are important to you.",AS,,real,,
"Mm, well look, what I'm going to say to you know is, time marches on, that, do you agree that we go ahead with what Lillian's suggesting?",AS,,real,,
But then you foil a new project to your expenditure and say look if you want to do these as indeed,DIR,,real,,
"And he wasn't the sort of man what my mother could say, Now look this one's been naughty today will you chastise them?",AS,,real,,
Look that will happen to everybody in this room and everybody outside.,AS,,real,,
"I mean, James Frazer would have read her novel, cos I think that's all you can call it, Coming of Age in Samoa, because it's mainly fictional, he would've read her novelistic account, and then he would have compared it with other accounts, which had been published in German and other languages, and accounts of, of Samoans themselves, and he would have said, look there's something wrong here.",AS,,real,,
"better.With determination, she stayed true to her vision and earned recognition for her bold artistic choices.",DM,,real,,
"the teacher acts as a conscience  I I explained to them I'm not expecting them to make the child do the work, but to be their conscience so they can say look you've got three assessments coming in that week  if you leave it till Friday night you're up the creak without a paddle!",DIR,,real,,
"read the lot, I mean, look what they doing language-wise, they're reading, they're evaluating, they're projecting  I mean,the that, they're doing quite complicated things",DM,,real,,
"h it's not someth you know, it's not s something that I'm prepared to stick my neck out and say, Look you know, I I don't think that word ought to appear anywhere.",DM,,real,,
Look we have got another meeting ...,AS,,real,,
"Go and talk to them and say look, this is what we can provide to you.",AS,,real,,
"I think I went down to most people to say they can't, but when you point out something to them, they say yes I can see that, look there's this as well and I think culturally er were led to believe if you don't succeed in it, erm but in actual fact I think that you all do, but perhaps I think the books do, either assess it and give it value or, or still allow it to happen",AS,,real,,
Their findings confirmed the validity of the new theory and led to significant advancements in their field.,DM,,real,,
"Erm you know, and these achievements, he's not saying that  you know re rev revolution's the way forward, he's actually saying look what's happened before under the",AS,,real,,
"Look, I don't want to insult your intelligence, I'm an Irishman right, we don't have a pile of that according to everybody, like ya know.",AS,,real,,
"Yes, you see the thing is one appointment can cock up your whole system, because if it like you said, if one, if a customer does happen to call in and say, look I need somebody in here desperately, when do you want it, when it's smack in the middle, it's not the other side of the world, but you know he's in Nuneaton or something, well you still have to go out and see him .",AS,,real,,
"So I said, well I I explained, now look, you were on an export price list now, one of the things Jerry didn't like ",AS,,real,,
"I mean i it'll be a, if Dennis was serious about wanting to go, he'll be er [laugh] he'll be able to say, look, I'm redundant.",AS,,real,,
"hat, that's a sensible kind of conclusion to draw and perhaps this would meet Kirsty's point as well, because the  what you might be tempted to say is look erm, in our cultures we have, we have absorbed from our cultures ways of seeing the world, bits about history and things restructure our thoughts and even when we try and do something new, I'd say let's have a revolution everybody, put up your barricades, you know,  actually we had some great fun in the sixties with that erm the, when this happens there's a tendency to nevertheless do it in the traditional way, in other words although obviously the sixty eight revolution was about a completely different issue than the seventeen ninety eight revolution, it was very much later in history",AS,,real,,
"And one thing we will learn from it I think, if we're honest with ourselves, and we put, and try and save up and have a piece on the end there, but the one thing I think we will perhaps come to, and the one conclusion we may come to, is the fact that whilst we, we do live in this world and I absolutely agree that if somebody says, look I need to see a new  as well, I need to see you now, or I need to see you tomorrow, that'll be difficult, OK, and that's the immediacy of the business",DM,,real,,
"And that would be, that would be, so if we're doing it this way, right, let's let's erm, forget about where we are sitting at the moment now, and just look we're in a helicopter looking at these ships now, so this one radios you in the helicopter and says, that ship S is on a bearing of forty five degrees",AS,,real,,
"My suggestion is that penis envy evolved as a counter-tactic, to motivate little girls by saying look, anything that has a penis is probably getting something that you're not getting, you should envy it and compete with it, and try to get those resources for yourself.",AS,,real,,
"Essentially what you're saying is that a teacher who's actually teaching you ought to be able to say to that teacher ‘look, here's a package, if you like, that you can insert into your range of skills, and these are of things that you can do with children which are worthwhile doing and fairly easily for you to acquire skills yourself, and they will be very good and helpful for the children’.",DIR,,real,,
LOOK! A Son of a White Horse  that your book from France mummy bought you ,DIR,,real,,
"They're the ones who are saying, Look.",DIR,,real,,
"Those are the first ones you contact but you still have to sit down with one of the estate agents and say, Well look what sort of business do you give them?",AS,,real,,
that well it's not useless it just can't be sold as clear glass anymore back to the recycle places they say well uh you know look you already you've got and they have percentages you know,AS,,real,,
"Hi, John, it's that time of the year for us to talk about your pension, look I'm in your area next week, when can we get together?",AS,,real,,
I like that look well I like this one if out out out f all of them ,AS,,real,,
"in fact, erm anybody that says a lot of sensible things and says look  if people are asked to  er, to er  increase their giving by nought percent that me , it probab",AS,,real,,
kind of had the feeling along that uh why didn't she just tell him to straighten up [laughter] you know why didn't she just tell hi[m]- hey look {bucko} you don't get away with this nonsense [laughter],AS,,real,,
"Now look, now, now just let me tell her this",DM,,real,,
So one of the things about qualifying er the surgery when you walk into them and say well look you know about the hundred pound per full page,AS,,real,,
Look he's slowing down there!,AS,,real,,
"So we we well all I suggest is we get the three together after the meeting, John and our two men and say, well look, who's done it and if they haven't, see the other man when he comes on.",AS,,real,,
Look erm,AS,,real,,
"point on six, er and he believed that my need was that I could go back to my manager, and say, look I got him up to two point one, [...] .",AS,,real,,
"Hello Bryony! Look! Come one toy can come and yes, I'm in here as well",AS,,real,,
"Look, I understand your concerns, but let's consider the potential impact and innovation this work could bring — it may reshape our industry for the ",DM,,real,,
"oh, right, erm, look I'll have to go and get changed, or I'm gonna be late",AS,,real,,
but now we're getting public services the schools the hospitals and if it weren't for the taxes we're putting in there uh look what the schools could cost you,AS,,real,,
"I suspect I suspect the local office probably won't because it was they  when I rang them here in Newark and I said, Look I'm about to go self-employed",AS,,real,,
and i think if they w[ould] i think if they would come back and say hey look this is wrong this is the way it should be done we're gonna give you some refunds and so forth and actually show an honest effort to be good on both sides of the fence we wanna collect as much tax we also wanna give back as much tax,AS,,real,,
look,AS,,real,,
"See there's the one trying to come out, look . Look. And he got straight in front there",DIR,,real,,
"What we've got to do is say, look, within the terms of the contract",AS,,real,,
". Now th that, that if you like is, is the new strategy that he's putting to the Communist Party and he's saying look, you should recognize this is going on, there is a, there, there is a, a growing class basis to this and we must lead it because it is the way forward.",AS,,real,,
"Cheerio. This way. This way, look.",AS,,real,,
"Look, look women are doing it too!",AS,,real,,
"Some people, Oh these  visitors and people used to say to me, Well now look, I said like that, visitors, I said like that, there's enough stuff for everybody.",DM,,real,,
"I mean I says, look I says, I'm not, I'm not saying you can't have your parties or whatever, I says but I says not in the bedrooms.",DM,,real,,
"Should we not first see how this  or should we say, look let's go for it now because I mean you know, we've been going now some years, what another year because",INTJ,,real,,
and Bobby did you see Moira last night? And look! Look! And how is she? ,AS,,real,,
"to, because, one of the main points about the embarrassing er aspect, mainly boys sniggering and giggling, whatever, maybe some girls do, but it's mainly  er, males, I think a point to be made there is, it is a well known fact that boys took longer to mature emotionally than girls  and I think if it was a guy  a younger guy, maybe in his late twenties, early thirties teaching it, and if he had the sort of guts to turn round and the bravery to say  look son, what is it you're laughing at, what's so funny?",AS,,real,,
"Look and he's gone, up through there.",DIR,,real,,
"So I might be showing myself doing worst than I should be but, look, my actual come out about the same and so when I compare my actual with my planned, I get er, an answer which should approach one.",AS,,real,,
Anyway look there's Kids' County er Dorothy who do we need?,AS,,real,,
"I think what you could sensibly say, to them, is, Look, I gather you've had supply problems with",AS,,real,,
"Well look we we haven't been in the Army a year, so we've got to be in two more years before it comes our turn our turn to be demobilized, so we just might as well sign up for a couple year, get two months leave and twenty quid, because we shall do that if we don't.",AS,,real,,
