sample,function,source,cosine_dist_to_real
"A group of artists came together to create a mural in their community. This is going to be something special, look! We're creating something that will be here for years to come. They worked tirelessly for weeks, painting every detail with passion and skill. ",INTJ,synthetic,0.7147882
"A group of students started a campaign to raise money for charity. We can make such a difference, look! We just need to spread the word and get people involved. They organized events and fundraisers, feeling proud of the impact they were making in their community. ",INTJ,synthetic,0.44388378
"In the bustling market, a vendor displayed a unique painting. Look! The colors are vibrant and the details are stunning. Customers stopped to marvel at the artwork. ",INTJ,synthetic,0.65206337
The boy opened the present nervously.Look! It's a brand new bicycle!He leapt off his seat in joy and rode around the room.,INTJ,synthetic,0.6622834
"The engineer struggled to decipher the complex wiring diagram.Look, find the ground wire and disconnect it first.He quickly identified the ground wire and cut off the power supply.",DIR,synthetic,0.6677625
"Two colleagues are discussing how to present the results.  Look, the client just wants something straightforward, not a full statistical analysis. The other agrees and starts simplifying the report together with him.",DM,synthetic,0.5047155
"A student wants to know the reason for an exam question.It’s look, this problem reflects real-world challenges you might encounter as an engineer. The teacher explains the practical application of the problem in detail.",DM,synthetic,0.63481456
"She was disheartened when her colleagues dismissed her fresh perspective.It's look, let’s give it a chance; you never know what benefits might come from experimentation.In the end, her idea revolutionized their industry and earned her recognition.",DM,synthetic,0.41514528
"The firefighter saw his teammate about to enter a burning building without protection.Look, put on your gear first! That's what it's there for.They donned their protective clothing and entered the burning building cautiously.",DIR,synthetic,0.6251677
"The manager found an employee wasting time online.Look, close those tabs and start your task right away.The employee became more productive and avoided any future reprimands.",DIR,synthetic,0.62381816
"The team was preparing for a critical presentation. This is our big chance, look. Let’s make it count. They took a deep breath and started rehearsing one last time.",INTJ,synthetic,0.62418675
The weather reporter watched as a severe storm approached.Look out! This looks like it's going to be a major one.People were told to evacuate and seek shelter immediately.,INTJ,synthetic,0.6716279
"He was puzzled by his boss's sudden decision to reorganize the team structure. Look, let's ask for more information about the changes and why they were made — it will help us adjust more smoothly. With this new understanding, he adapted to the shifts with greater ease.",DM,synthetic,0.47661924
"The nurse observed a patient lying about symptoms or downplaying them to avoid treatment. Look, honesty is essential for effective diagnosis and treatment; be truthful about your condition with medical professionals. Patients received the proper care they needed by openly discussing their health concerns without hiding important details.",DIR,synthetic,0.5434114
"The team won their division championship and advanced to the playoffs. We're one step closer to the finals, look! We're determined to win it all. The players celebrated together, knowing that they had worked hard for this moment and would continue to fight until the end. ",INTJ,synthetic,0.7119613
The researcher faced skepticism when presenting his revolutionary theory.,DM,synthetic,0.41929752
"The team won a championship tournament, securing their spot in the world finals. This is incredible, look! We're representing our country on the world stage. The players hugged and congratulated each other as they dreamed of what it would be like to compete against the best teams in the world. ",INTJ,synthetic,0.7022619
"A young woman won a prestigious award for her work in business. This is unbelievable, look! I never thought my hard work would lead to this. She accepted the award with grace and gratitude, feeling proud of what she had accomplished. ",INTJ,synthetic,0.574858
She was discouraged by her boss's dismissal of her promotion request.,DM,synthetic,0.6440933
"The teacher saw students struggling to meet deadlines due to procrastination or poor time management skills.Look, develop a work schedule that balances study, leisure, and relaxation to achieve academic success without stress. Students found success in their grades as well as happiness in their personal lives with improved time management habits.",DIR,synthetic,0.61311495
"The artist completed her latest painting and shared it with the world. I'm so happy with how it turned out, look! I can't wait to see what others think of my work. The painting was well-received by critics and art lovers alike, bringing even more recognition to the artist.",INTJ,synthetic,0.5418871
"The coach observed players using physical aggression instead of skillful plays on the court during games.  Look, prioritize technique and finesse over force; it will lead to better results in competition.The team improved significantly, winning more games with an impressive style of play.",DIR,synthetic,0.67541814
The designer was disappointed by the lackluster response to his latest collection.,DM,synthetic,0.7030509
The manager faced criticism when implementing new policies for the team.,DM,synthetic,0.49528182
"The manager noticed employees failing to meet sales targets due to complacency or a lack of ambition. Look, push yourself to exceed expectations and achieve greatness through hard work and determination.Employees discovered they had untapped potential within themselves as they surpassed sales goals repeatedly.",DIR,synthetic,0.5683042
He was concerned that his innovative idea would be met with resistance at the meeting.,DM,synthetic,0.5337564
"The doctor saw patients ignoring medical advice about quitting smoking. Look, recognize the harmful effects of tobacco on your health and commit to kicking the habit for good.Patients enjoyed improved health, longevity, and quality of life after successfully quitting smoking.",DIR,synthetic,0.60898525
"The team won the league championship and celebrated their victory on the field. We did it, look! We worked so hard for this moment, and it feels amazing to be champions. The players hugged and cheered as they lifted the trophy high into the air, feeling proud of what they had achieved together. ",INTJ,synthetic,0.7302003
"A young woman won a scholarship to study at a prestigious university. This is an opportunity of a lifetime, look! I can't wait to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come. ",INTJ,synthetic,0.5723679
"She was frustrated by the lack of transparency in her company’s financial records. It’s look, perhaps we can advocate for more openness and regular access to such information — it will help us make informed decisions. With this newfound understanding, she became a valuable asset to the team.",DM,synthetic,0.5099668
"The nurse observed a patient avoiding necessary tests or screenings due to fear of results.Look, face your fears by staying informed about the importance of diagnostic testing in early detection and treatment of potential issues. Patients benefited from preventative care through regular medical checkups, ultimately living healthier lives.",DIR,synthetic,0.6209589
"The architect saw an intern focusing on aesthetics instead of functionality during design projects.Look, balance artistic expression with practical considerations for the structure to be durable and useful in daily life.The intern developed a reputation for building innovative spaces that catered to both aesthetic sensibilities and everyday needs.",DIR,synthetic,0.64912903
"The artist completed her latest sculpture and exhibited it at a gallery. This is an honor, look! I'm so grateful to have my work displayed alongside some of the greatest artists in history. The exhibition was well-attended and well-received by both critics and the general public, bringing even more recognition to the artist. ",INTJ,synthetic,0.5892085
The teacher faced challenges when trying to connect with disengaged students.,DM,synthetic,0.52030194
"A group of friends went on a camping trip in the mountains. This is so peaceful and rejuvenating, look! We're disconnecting from our busy lives and connecting with nature. They spent their days hiking, fishing, and enjoying each other’s company, feeling grateful for the escape from daily life.",INTJ,synthetic,0.67651796
He was dismayed by the poor response to his latest marketing campaign.,DM,synthetic,0.633505
"The teacher saw students engaging in disruptive behavior during class sessions.Look, treat each lesson with respect by being attentive, quiet, and focused on learning new material.Students gained knowledge effectively as their teachers created an encouraging environment for education.",DIR,synthetic,0.505347
She was discouraged by her team's lackluster effort during the brainstorming session.,DM,synthetic,0.67588806
"The coach observed players refusing to practice outside of team practice times.Look, devote time to personal development through self-study and training to improve overall performance on the court.Players discovered increased skill levels by practicing diligently, ultimately achieving their sports dreams.",DIR,synthetic,0.6100533
"The artist struggled to convince the gallery owner of his unique vision.Look, if we can capture this essence in our work, it will be something truly extraordinary.The owner eventually agreed and saw increased interest in their exhibitions.",DM,synthetic,0.58960116
"The chef opened the oven and found that his soufflé had fallen.Oh no, look at this!He slammed the door shut and started swearing under his breath.",INTJ,synthetic,0.66974545
"The nurse saw a patient ignoring pain medication advice.Look, take the medicine as directed to manage your symptoms.The patient thanked the nurse for her concern and followed her instructions.",DIR,synthetic,0.59453505
"The supervisor saw an employee sorting merchandise in disorganized piles.Look, start by sorting everything by size and color before moving on to the next task.The employee nodded and got right to work on organizing the stockroom.",DIR,synthetic,0.5988409
"Two friends are debating political ideologies.Look, it's about finding a balance between individual freedoms and societal responsibilities. Both friends ponder the statement and agree on some common ground.",DM,synthetic,0.57166904
"A young woman won a scholarship to study abroad in another country. This is going to be an incredible experience, look! I can't wait to learn about new cultures and make lifelong friendships. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling excited and nervous for what was to come. ",INTJ,synthetic,0.5854524
The artist faced criticism when her latest series departed from traditional styles.,DM,synthetic,0.66099465
"The manager noticed employees being disloyal to the company due to gossiping or spreading negative rumors.Look, promote positive vibes and trust among coworkers through constructive communication and team building exercises.Employees found joy in collaborating on projects together, fostering long-lasting professional relationships within the organization.",DIR,synthetic,0.64852464
"The artist completed her latest painting and entered it in a competition. I hope this painting will make an impact, look! I'm proud of my work and believe that it has the potential to win. The painting was well-received by both judges and art lovers alike, bringing even more recognition to the artist.",INTJ,synthetic,0.6194204
"The doctor saw a patient refusing to undergo necessary procedures for fear of pain or complications.Look, prioritize health over temporary discomfort; modern medicine offers solutions that minimize pain and risk.Patients benefited from vital treatments, living healthy lives despite initial hesitation or anxiety.",DIR,synthetic,0.53137565
"The lawyer was dismayed by the lack of evidence in her case.Look, maybe there are alternative avenues of investigation we haven't considered yet — let's explore all possibilities.By taking this approach, she found key pieces of evidence that won her client's freedom.",DM,synthetic,0.59015834
"The CEO was puzzled by the negative press coverage surrounding his company's actions. It’s look, perhaps we can engage with reporters and clarify our position on the issues — it will help us maintain a positive public image.With open communication, they gained valuable insights into their public relations strategy.",DM,synthetic,0.5174558
"The nurse observed a patient neglecting proper dental hygiene practices.Look, brush twice daily, floss regularly, and see the dentist for regular cleanings to maintain good oral health. Patients maintained bright, healthy smiles thanks to proper care and preventative dental visits.",DIR,synthetic,0.6324254
"She was discouraged by her team's resistance to her new idea for the project. Look, maybe we can find a way to incorporate elements of your proposal while still meeting our goals — it will make for a more successful outcome.By working together, they found a compromise that satisfied everyone involved.",DM,synthetic,0.43392086
"The architect saw an intern designing without taking into account environmental sustainability factors.Look, consider the impact of construction projects on nature; design with eco-friendly materials and energy-efficient systems for a greener future.The intern impressed everyone by delivering beautiful structures that harmonized with surrounding landscapes.",DIR,synthetic,0.635339
"The team won a championship tournament and advanced to the world finals. We can't believe we made it this far, look! We're ready to take on the best teams in the world. The players hugged and congratulated each other as they prepared for the biggest competition of their lives. 114. A young woman won a prestigious award for her work in medicine. This is a dream come true, look! I'm so proud to have my dedication to helping others recognized. She accepted the award with gratitude and grace, feeling humbled by the honor. ",INTJ,synthetic,0.5662124
"He was overwhelmed by the amount of information he needed to process for his research. It’s look, perhaps we can break it down into smaller, manageable sections — it will make the task seem less daunting. With this new approach, he made significant progress in his studies and earned accolades from peers and mentors alike.",DM,synthetic,0.51957893
"The teacher saw students copying each other's answers instead of developing their own critical thinking skills during exams.Look, answer questions honestly and openly; let your unique perspective shine through your words on the test page.Students gained confidence in their ability to solve problems creatively as they developed strong problem-solving skills.",DIR,synthetic,0.544334
"The artist completed her latest sculpture and displayed it at a museum. I can't believe my work is on display in such a prestigious institution, look! I'm honored to be recognized. The sculpture was well-received by both critics and the general public, bringing even more recognition to the artist.",INTJ,synthetic,0.5997988
"The coach observed players resorting to anger or aggression when losing a match. Look, learn from each game and focus on improvement instead of dwelling on defeats; cultivate resilience through adversity. Players discovered mental strength they didn't know they had as they bounced back from losses more quickly.",DIR,synthetic,0.6927283
"The manager faced challenges when trying to implement a new initiative. Look, maybe we can gather input from employees about potential obstacles or areas of concern — their feedback will help us make adjustments for successful implementation.With this collaboration, the new initiative gained widespread support and yielded impressive results.",DM,synthetic,0.42801148
"The manager noticed employees wasting company resources such as paper, ink, or energy unnecessarily. Look, be mindful of your actions and avoid unnecessary consumption; wastefulness can strain budgets and negatively impact the environment. Employees reduced their carbon footprint while simultaneously boosting company profits through responsible use of resources.",DIR,synthetic,0.66910845
"The team was discussing potential investors for their startup.Look, we need to consider not just financial backing but also strategic partnerships that could accelerate our growth.They made a list of target companies and began reaching out with their proposal.",DM,synthetic,0.5650026
"He found himself in the middle of an uncomfortable conversation with a colleague. Look, maybe there's a way we can diplomatically address the issue without causing tension or offending anyone.With this new approach, he managed to smooth over any hard feelings and maintain professional relationships.",DM,synthetic,0.4555174
"The team won a championship tournament and secured a spot in the playoffs. We worked so hard for this moment, look! We're determined to make it count. The players hugged and congratulated each other as they prepared for their next game, feeling focused and energized. 118. A young woman won a scholarship to study at a prestigious university abroad. This is going to be an amazing opportunity, look! I'm so excited to see where my education takes me. She packed her bags and said goodbye to her friends and family as she embarked on her educational journey, feeling grateful for the chance to learn from some of the best in the field. 119. The artist completed her latest painting and shared it with the world. I'm so proud of this piece, look! I can't wait to see what others think of my work. The painting was well-received by critics and art lovers alike, bringing even more recognition to the artist. ",INTJ,synthetic,0.548779
"The coach observed players skipping practice sessions due to fatigue or laziness. Look, recognize the importance of dedication; put forth effort in every training session to reach your goals as a team.Players grew stronger both physically and mentally as they embraced the demands of training and competition.",DIR,synthetic,0.4943542
"The professor struggled to keep his class engaged during lectures. It’s look, perhaps we can incorporate more interactive activities or discussions to make the material more accessible and interesting for students. With this new teaching style, attendance and participation improved significantly.",DM,synthetic,0.62349135
She was concerned about her company's response to recent environmental concerns.,DM,synthetic,0.63058555
"The manager noticed employees engaging in office politics instead of collaborating productively on tasks.Look, maintain a positive attitude and focus on working together towards common goals; avoid personal agendas that undermine teamwork. Employees found camaraderie among coworkers through shared challenges and achievements as they built strong relationships.",DIR,synthetic,0.55774
"A firefighter entered the burning building. It’s dangerous, look. But someone has to do it. His team watched him enter with a mix of admiration and worry. ",INTJ,synthetic,0.56783473
"The archaeologist found a mysterious object deep in the ground.Look here, this is unlike anything we've ever seen before.Scientists are still debating its origins and purpose today.",INTJ,synthetic,0.6536666
"The CEO was troubled by reports of a possible company takeover.It's look, let’s consider all our options; we might find an unexpected solution.They ended up negotiating terms that secured the future of their company.",DM,synthetic,0.584393
"The manager noticed his colleague arguing with a customer at the checkout.Look, let me handle this situation. I know how to de-escalate it.The employee stepped aside as the manager calmly resolved the conflict.",DIR,synthetic,0.6195046
"The mechanic observed a car making a strange noise.Look, let's open the hood and investigate that sound.Together they found the issue and replaced the faulty part.",DIR,synthetic,0.57630515
"A colleague is seeking feedback on their work presentation. It’s look, what do you think of adding some charts to visually illustrate points? The team agrees that visual aids could enhance clarity in the presentation.",DM,synthetic,0.522265
"A group of friends went on a road trip across Europe. This is going to be an adventure we will never forget, look! We're experiencing so many different cultures and lands. They visited museums, churches, and historic sites, feeling grateful for the opportunity to learn about history and broaden their horizons. ",INTJ,synthetic,0.7145302
"He was frustrated by his boss's insistence on micromanaging the project. Look, I understand your concerns, but let's trust in my expertise and give me more autonomy — it will lead to better results.With this new arrangement, he delivered outstanding results and earned his supervisor's respect and admiration.",DM,synthetic,0.3930714
"The doctor saw patients failing to follow prescribed exercise regimens due to excuses or lack of motivation.Look, prioritize physical fitness; commit to exercise regularly for overall wellness and improved quality of life.Patients discovered the benefits of regular exercise, from stress relief to increased energy levels and improved mood.",DIR,synthetic,0.63339496
"The nurse observed a patient neglecting proper skincare practices that led to blemishes or acne breakouts.Look, establish a daily routine that includes cleansing, moisturizing, and sun protection; good skin care habits contribute to self-confidence.Patients enjoyed clearer complexions thanks to consistent skincare routines and regular dermatological consultations.",DIR,synthetic,0.6599391
"The researcher faced challenges when trying to communicate her findings to a lay audience. Look, maybe we can find analogies or visual aids that help explain complex concepts in a more accessible way — it will make the information easier for everyone to understand. With this approach, she was invited to speak at events for both academic and general audiences.",DM,synthetic,0.41648817
"The team won the league championship and celebrated their victory on the field. We did it, look! We worked so hard for this moment, and it feels amazing to be champions. The players hugged and cheered as they lifted the trophy high into the air, feeling proud of what they had achieved together.",INTJ,synthetic,0.7302003
"She was discouraged by her team's resistance to new ideas during brainstorming sessions.Look, let’s remind everyone that a true brainstorm is a time for free thinking, experimentation, and collaboration — no idea is too crazy or impossible.With this mentality, they generated innovative solutions and saw improved results in their projects.",DM,synthetic,0.58870244
"The architect saw an intern designing without considering the impact on disabled individuals or the elderly.Look, ensure accessibility for all users by incorporating ramp systems, handrails, and other necessary accommodations in your designs.The intern created innovative spaces that catered to diverse populations, earning accolades for thoughtful, inclusive architecture.",DIR,synthetic,0.68444484
"He was puzzled by his colleagues' negative reactions to his innovative ideas.Look, maybe there are misconceptions or fears holding them back that we can address directly — open communication will help build trust and create a more productive working environment. With this approach, he earned support for his initiatives and strengthened professional relationships.",DM,synthetic,0.32520002
