sample,function,label
"Extract it, but keep it in your room alphabetically  then if the maths department say, hey look, can we have a look at that during the ",AS,
I've got this  Yeah yeah look ,AS,
Now that would not be what one would expect  er two months ago if I'd said well look you know that's  that's what the revolution's gonna bring about you would've said I don't believe you.,AS,
"there is no better way, but er the problem with that is that, you know okay, you might get, you might get some peasants who say well we're really grateful, we'll go off and fight but some of them might just say no look, we've got some land I'm not gonna leave it, ",DM,
"And if a builder gonna go down there you say, Well look I've got one down here but I've got a prime slot",AS,
"If I can't get to the person they want I try and say to them, ‘Look, can you please ring back’, because if they left a message, that message would have been lying on my desk until the next morning, until I get round to actually phoning that person internally, saying this person rang.",AS,
i didn't even look uh see i'm living with two other people so when i when we break five hundred dollars in in in three ways,AS,
but [vocalized-noise] they don't look you know like uh [vocalized-noise] she had complained about it one time and the girl said she was sorry she picked up these utensils and and when back and grabbed some new ones and then put the new ones back down and the new ones looked worse than the ones that she took away so she is not even looking you know and,AS,
"Look, we're going through sand now.",INTJ,
"What a strange place it was. LOOK here, look here Scott",DIR,
peoples' families wouldn't would never stand for something like that they'd say look you need to take care of this you need to deal with this and now it's just,AS,
"And this an argument that's often put forward by the National Farmers Union, and other agricultural lobby groups, essentially erm, er, it's saying to sort of er, the European Community when they're price setting, look there's no point in you er, reducing agricultural product prices, cos all that's going to do is increase supply",AS,
"Well look folks we'll have to stop now it's gone eleven and I have to give a lecture  Joy, er that was an excellent er summary, well done.",AS,
"I said, well look, we intend to fax through to Roy saying, yes we want to do business with you.",AS,
"you know, look, I always look through headlines and read what I'm interested, ",AS,
"I mean it may well be we'll say in year seven, look the things we're looking for here and I want everybody to comment on is, A  er, how well they've settled down er  how well they're getting on with others  but there's no reason why you can't make those decisions.",AS,
"He said, Look, I'm his Dad, what did you pay the others?",AS,
"And the same thing, that if a major client like the Health and Safety Executive said to me, Ricky we're running a regional training week in the last week of November, and we want you for three days, you know, I, I don't say to them well look you know, well two of those days are catch up days, I can't possibly do it, why don't you move your whole regional training week to next week?",DM,
"It's, look we've got a problem haven't we, the problem is there's low, there's persistently low turn out in local government elections.",AS,
"Well, er  I asked  this, because erm, when I was having my house  it came up, and I and I pointed out to her th the astonishing anomaly, I said, look erm, everybody knows about manuscript, Ernest and his biography of Freud mentions it and says he read it and reports rather well of it, actually, was really quite impressed with it.",AS,
Oh look ... the boys and girls are coming for play time.,AS,
so it's it's uh you know saying well look you know we don't like the way he looks and let's uh let's throw the rascal in jail and stuff,AS,
"Now I'm minded at the moment to say, look, why should we pay a hundred pounds and pay all the, all the, all the refurbishment of that site, because they won't be able to develop it, there's no, there's no access to that land.",DM,
"Erm two things now have cropped up number one of course is that there's a fair chance within the next year we're gonna lose Bill anyway through civilianisation, and secondly er the fact that er his boss er Rick has said to him, look I don't want you going up a division any more to do erm A L O work, quite reasonably, he's not being funny about it, it's quite reasonable, cos its  mileage.",AS,
"I've just put my house on the market in York I've chosen the  if erm that's that's you know the whole taking the whole scene into consideration, but if I was in Bournemouth for instance and buying a house in York and I said I phone three or four estates agents and said, Look please send me information through the post.",AS,
Do you want to play scrabble?  Look Isobel Let me take that,DIR,
Now apparently what happened is I went up to him and said look I might have to do something with it.,AS,
Look there's one that's not in there.,AS,
"See there's the one trying to come out, look . Look. And he got straight in front there",DIR,
"It started in the Autumn of eighty-eight, when Phil approached me and said, ‘Look, we would like to consider putting our services that we do offer to finance in a more effective way’, running alongside that was a project being run by Oxfordshire Health Authority where they were sending postal surveys to elderly people; people over the age of seventy erm sixty-five at one point, and were getting back a huge amount of information on their perceived needs.",AS,
"Anyway look  Kids' County, where do you think we need Lillian?",AS,
"With this new approach, she won approval for her concept and was given the green light to develop the product line.",DM,
When I see them in the church I always talk to them and I said ‘Look have you got bottles?’ and sometimes they'll say yes and sometimes they'll say no.,AS,
"And I said to them, Look I've re-costed all this, this is your new price sorted, and he said, we can't see what price increase we made.",AS,
LOOK it'll be your bedtime  ,AS,
"So if someone had come up to you, and said, Well look, you you bet three pound, to have a go and if you get a four aces, I'll give you a million pound, then it's worth it.",AS,
"look, you're going to have it on the floor, will you hold it up straight please ... or I might have to scream, shall I scream?, it's alright Richard he didn't spill any",AS,
"What's happened Lisa Look, if I press those two fingers, can you see they go white?",DIR,
She will in a minute. Oh look. ,INTJ,
"look, you're going to spill that milk if you're not careful",AS,
look,AS,
"Those are the first ones you contact but you still have to sit down with one of the estate agents and say, Well look what sort of business do you give them?",AS,
look look out there.,DIR,
I like that look well I like this one if out out out f all of them ,AS,
"Well the only think which erm, which erm  I I  and I said look  this er system  because no way  .",AS,
"Hi, John, it's that time of the year for us to talk about your pension, look I'm in your area next week, when can we get together?",AS,
"And John was great, and he showed her round and he said, well look, why don't you take one for a test drive.",AS,
"stop here, we'll we'll cross here look. I wonder why she likes me?",DIR,
"Go and talk to them and say look, this is what we can provide to you.",AS,
well look i've enjoyed speaking with you,AS,
Look can we do one show here we're doing two at the moment?,AS,
Eye's funny. Yeah. Now look it asks you for a certain number of things,AS,
So one of the things about qualifying er the surgery when you walk into them and say well look you know about the hundred pound per full page,AS,
Have you seen it Amy? Look! Ha. You can have it that way up,DIR,
"Oh well I'll keep the insurance company  er I w er we will send them a little note in that case, saying look, you know, this is the case, it appears to be an innocent lesion she's just been finely checked over on the eighth of October, do you feel you can now proceed?",DM,
"Because Derek will be able to say to me Look, do a letter to here.",DIR,
but now we're getting public services the schools the hospitals and if it weren't for the taxes we're putting in there uh look what the schools could cost you,AS,
yeah look. For that fifty pence. It's in the corner look,DIR,
"Sometimes the grown-ups say ‘well, look, this is just not the type of thing I want my child even to know about.",AS,
"I dunno I mean I'll mention it to the deputy again and say look we're getting towards the end of a financial year, there will be some departments underspent because er suppliers can't meet deadlines and really you should keep in mind that w we haven't got er we can't just pluck five thousand pounds out of our budget.",AS,
"I say to them, ‘Look, don't start planning this whole thing on your own from the beginning.",AS,
"Look, don't mess about.",AS,
"LOOK, they're coming out for paly time ",INTJ,
"Well I went and worked in a factory for about nine months I suppose, and the man himself, cos it was casting, brass castings, the man himself says, he says look son, this job's no good to you I'll tell you that.",AS,
"I think I went down to most people to say they can't, but when you point out something to them, they say yes I can see that, look there's this as well and I think culturally er were led to believe if you don't succeed in it, erm but in actual fact I think that you all do, but perhaps I think the books do, either assess it and give it value or, or still allow it to happen",AS,
"Now then I was going to ask one simple question and that is, has anyone thought about keep sending postcards to people, er if the, erm reply is going to be delayed in any way, because at least then the person if there's sufficiently good reference will be able to, phone up and say look you know, yes I'm not happy, it seems to me that that would be a way forward on that, erm.",AS,
"better.With determination, she stayed true to her vision and earned recognition for her bold artistic choices.",DM,
and the only way you know what i mean they say oh look this is great this this s[lices]- slices bread but they don't tell you that [noise] that it also mashes it at the same time and uh so that,AS,
"And so what it does after the first ten minutes, it says, look I've had enough of this, what's the grey haired old bugger on about now, oh ,",AS,
"Look, here, can you see this",DIR,
"look Richard, Richard, I want you to put your coat on now anyway, coat on please now",AS,
"[laugh] But then he se he seemed then as if he'd think twice before he'd do anything  when he used to come in you know I er I said to him I said look  we used to call him in them days you know, now what did you that for?",AS,
"With this new approach, she gained support for her initiative and organized a successful charity event that positively impacted local organizations.",DM,
Oh look his name's the same as the first person of America.,AS,
"In the next step of the argument, he then said, well, religion is a transference, and therefore a form of infantilism, so now he seems to be criticizing religion, but if he's criti criticizing religion by saying it's an illusion, surely he's jeopardizing civilization, because the danger, as he points out in the book, if you take religion away from people, you say, look, this is just an illusion, God doesn't exist.",AS,
"And it was a ridiculous situation,  so I went along and said er, look Jack er, we're going to go into the annual palaver, I mean, you know,  very high inflation.  And he had to do that every year in order to satisfy his stance his hat that he was wearing, that he was actually being the boss, and knocking the workers down, look I'm  holding down, what twenty-two",DIR,
and you know but she's been really good and she hasn't really said much and i go well look you know today we're going to go out and get something so we went out and blew about a hundred bucks but you know for us that's a that's huge for me you know but you know some people do it every weekend,AS,
Well okay well look I I now I need a commitment.,AS,
"The only erm exception and that's not even in your price structure, is that if somebody says, Look is there any chance I can have colour, that's the only place they can have it on the back copy back cover sorry.",AS,
Look  puppy.,DIR,
Well look.,AS,
"Well look we we haven't been in the Army a year, so we've got to be in two more years before it comes our turn our turn to be demobilized, so we just might as well sign up for a couple year, get two months leave and twenty quid, because we shall do that if we don't.",AS,
Look it's obvious this one's a double positive and that's a double negative so they're going to go together and you're left with H and O H which is going to make the water it's obvious isn't it,AS,
"Come on look, I'm listening!",AS,
You can have theYeah.That corporate standards would apply there.Look.Whether we like it or not,DIR,
"and I think it's perhaps important to start with that we go with something that's a little bit open-ended that we can review in a years time er, perhaps a little bit later and say well look  we have shown that we can do it valuably er  the proof is in the pudding, it now beholds everybody to do it this way.",AS,
Look will you promise you won't open that.,AS,
"And that would be, that would be, so if we're doing it this way, right, let's let's erm, forget about where we are sitting at the moment now, and just look we're in a helicopter looking at these ships now, so this one radios you in the helicopter and says, that ship S is on a bearing of forty five degrees",AS,
"Some people, Oh these  visitors and people used to say to me, Well now look, I said like that, visitors, I said like that, there's enough stuff for everybody.",DM,
Look how many times have I told you to stop swinging on the handle you're tipping it over.,AS,
"With an open conversation, she gained valuable insights and received a revised offer she couldn't refuse.",DM,
"Now, that's okay, I would do that, but it's much better I think to say, ‘Look, I'm sorry they're not there would you like to ring back when the board is open’, because they won't realise you're not switchboard.",AS,
Patients experienced improved health outcomes thanks to productive dialogue and shared decision-making regarding their care.,DIR,
"[whispering] yeah, look yeah, I'm just  yeah, yeah []",DM,
"Look, it's alright to have a bit of fun with this, but the matter is deadly serious  and I use the word deadly  advisedly.",AS,
"So I, I always think it, feel it's a good idea to say to the stallholder, stallholder look, erm if I take this home and try it on and find it won't, doesn't fit can I bring it back?",AS,
"O K so look let me just go through these notices er for today's tutorial period, one or two changes  erm again a thought for the week from the chaplain to begin with, during the approaching season of Lent, the best thing we can do is to centre our thoughts on what Jesus Christ did for us through his passion, death and resurrection.",AS,
"I tell her and she says, well look, get another line from your doctor.",AS,
". that cadres would, would, would go into a village and they would say look erm  that is the normal yield for that bit of land.",AS,
"erm My inclination would be to those people who phone up and say ‘look, I borrowed your kit and I can't work out whether the red plug goes in the blue hole’ or whatever, to say, ‘Well, tough’you know",AS,
"Look, I'm afraid, for example at yourselves, there we go",AS,
"Look, look at it this way.",DIR,
Look when you get as old as me you'll be I'll be glad to have a head like you.,AS,
there is the backview look. I mean that's that's a backdoor,DIR,
"Look, I don't want to insult your intelligence, I'm an Irishman right, we don't have a pile of that according to everybody, like ya know.",AS,
"oh look I've got all the tissues are used up, I'll have to go upstairs, let's see if there's one in my shopping bag, your nose is streaming Bryony  you can't get out",AS,
"What sort of, erm, pressure or involvement or leadership ought to be given, or wh , yeah, what pressure ought to be put on the business sector, in order that it should sort of, conform ... conform is not a very good word, in order, it's ability to to contribute to the voluntary sector, and engage with it, should not be based upon individual and enlightened examples, such as I B M's, but should pull upwards the rest of the business sector, in other words, should N C V O actually says to the business sector as a whole, look, we think globally this is what you ought to be doing",AS,
"He's going, Ooh look there's a little tiny thin bit there I haven't done Oh",INTJ,
the rest look [laughter],INTJ,
i need to go over there and just drive around and look it's,AS,
"No, no.Look.Natalie,Look.it's gonna look in my eye.",DIR,
i how would you ruddy uh look uh but uh,INTJ,
Oh look! Can you see the buds on the conker trees?,INTJ,
kind of had the feeling along that uh why didn't she just tell him to straighten up [laughter] you know why didn't she just tell hi[m]- hey look {bucko} you don't get away with this nonsense [laughter],AS,
"No, Look ain't that 'orse going back where?  ",DIR,
"Well look the the one quarter part of it means,  find the fourth root of sixteen and then the three means cube your answer.",AS,
"And here she is older there, look, in the town.",DIR,
"look in early nineteen forty eight  where we are,wh where the land reform process had taken the Communist Party  tt and then we could begin to look forward to  where policy was going to go from there in terms of the military, political, economic, ideological future  and what I'm going to do today to, to begin with anyway is, is to just consider where we are and where it is we're gonna go and in a sense we could, it might be helpful to, to put ourselves back in a position of being the central committee again",AS,
"Gosh, balm cake doesn't have any essence at all, you know, erm that'll be astonishing finding is, whereas your point is, look it might just be some of all these things in some proportion or some ratio.",AS,
"he hasn't, I got it back off him. Looke there it is. He just took it",DIR,
"So I said, well I I explained, now look, you were on an export price list now, one of the things Jerry didn't like ",AS,
"But what about when, I dunno i it   in his speech he's being very honest and saying well look we really need the support blah blah and the and then tries to put this er bit in about erm Marxist Leninism",AS,
"And of course er we used to if we were busy, we used to tell they girls, I say, Look, I said, you can talk any anytime you like.",AS,
"And so and we were bringing in deals and they were phoning the clients back and saying, Look yeah great alarm systems blah blah we have an alternative one cheaper",AS,
But then you foil a new project to your expenditure and say look if you want to do these as indeed,DIR,
Ben   Look. What? I do a poo.,DIR,
yeah and then and then some some rich yo-yo walks in there who's buddies with the bank president saying look i want to borrow,DIR,
"We said to both of them, look you are quasi-government organizations who are sponsored by government departments there can only be one technical view",AS,
"Yeah, so yeah ah you're alright so you'll say yeah course I'm alright,  there's no fee, so eventually I get to the point where I said look I did say there's no fee involved but I'd, I, that's a bit of a lie because there is a fee for all the work I'm er but it comes in the form of referrals, in the form of recommendation, not actual money.",AS,
"We didn't make the decision to find out, look I've got a complimentary ticket, and perhaps I don't have to queue here, perhaps I might have to, but I'll go and find out.",AS,
LOOK DON’T DO THAT,AS,
"you've gotta think er think, it was like erm  one of the guys was saying oh I've got a real problem getting the names, I said well how do you ask and he said well look I'm in the people business John but I don't suppose you know anybody do you",AS,
"I think what you could sensibly say, to them, is, Look, I gather you've had supply problems with",AS,
that you know because i mean look look in Dallas they're everywhere they were everywhere and then then they started being taken over by bigger bigger ones and then they just the bigger ones took on the little one's debt and then it it just snowballed,AS,
um-hum more of a classic look yeah see that doesn't have to be uncomfortable,AS,
"Er, because w er males because of er variance of male reproductive success, another way of looking at it is to say look, males are expendable, you don't actually need a lot of males to keep all your females fertilized so you can waste them, and in fact we do waste them, for example in wars.",AS,
They're lovely. Like them. Oxfam. Not Oxfam. Look. Its even got. Aren't they nice,DIR,
"Look, British Library Chambers I beg your pardon.",AS,
How do you spell look look,DIR,
Look.Sorry.That 's what it says in the document,DIR,
"On the industrial side, I mentioned to Steve last year at the end of last year saying, look it's coming up to",DM,
oh yeah you bet you bet and with computer technology now look how spooky it is for how accessible these things are,DIR,
"And say ‘look, part of growing up means that you're going to have to deal with nastiness’",AS,
If I can just endorse what Stewart was saying the Parish Council talked to me as their consultant for a while and said look it seems that that with the with the actions of the er County Council writing to the Secretary of State to preempt the call-in procedures and the attitude of the District Council that this thing might well get local planning permission.,AS,
"I said Well look, you go and get the policeman  I'll ring my solicitor up  and then we'll sort it out from there.",AS,
Each collection is aimed at a very specific market.LookNo Hands!,DIR,
"your brother is being naughty, he's run away up the street look! Where is Bryony?",DIR,
"I mean i i i in a sense I think he was, he's been criticized unfairly for, for this because he  he, he copped all the blame for absolute egalitarianism, whereas in fact if, if you look at the details behind it he was aware of the dangers of encroachment on the middle peasant and was warning against that and saying look this shouldn't happen.",AS,
"And he uses a picture, he says, look, you're gonna come and you're, you're drawing this water  and you're gonna come back tomorrow and get some more, and the next day you'll come with your jugs and have some more water, and that's the story of your life, coming back again, and again, and again  but the, the water that I will give you, that won't be an external source outside of you, that's gonna be within you!",AS,
And if you were a a lecturer in politics and you went to see this play then you might think oh look  oh and then you'd start thinking and if you were a scientist you would think about it in another way and if you were an artist you'd think about it in another way.,AS,
"The worst one was when we were doing one on Women's Studies and I said look, let's have your title and let's have some kind of format",AS,
"that is, that is what, that is what exists to do, or one of the things that exists to do as the UK sales company our business is to give the projections for a particular piece of business, and if we see any other similar bits of business around it that's fine, that's, that needs to be added to it, but to give our vision of that particular piece of business, feed that into the marketing people in , and say, look, this is the situation if we go this way, this is what we think is going to happen, if we do this, this is going to happen, if we don't do this, this is what's going to happen, so that that can be fed into an overall picture, and they will come back, I presume, and say, right, we now have enough information to know that it's going to be worth =vesting, investing in production of sixteen double O fours in er Peter .",AS,
"look, look, may I put it this way, we're in the directive of being able to point to something which permits the Secretary of State to delegate the function, that what's it for",DM,
"and we'd been up all night serving troops and er, you see, and then the Manager said, well look er  now and have some breakfast before we get th another telegram and we were",AS,
"But then you foil a new project to your expenditure and say look  if you want to do these  as indeed, you've expressed  then it's going to cost you so much",AS,
"Look, there's a car reversing.",DIR,
"to, because, one of the main points about the embarrassing er aspect, mainly boys sniggering and giggling, whatever, maybe some girls do, but it's mainly  er, males, I think a point to be made there is, it is a well known fact that boys took longer to mature emotionally than girls  and I think if it was a guy  a younger guy, maybe in his late twenties, early thirties teaching it, and if he had the sort of guts to turn round and the bravery to say  look son, what is it you're laughing at, what's so funny?",AS,
"Now this is important because another criticism th th that Darwin's critics made was, hey look, sometimes people inherit things that're very bad for them.",DM,
"Look, these people are important to you.",AS,
"Yeah, okay, okay well look,",AS,
"And er, later of course, he became the American Ambassador of Vienna, so Freud met him, but so, so, Bullett had a personal stake in this, but I must admit, er my own view was, was rather to admire Bullett for his stand, because it's a rare politician who stands up and says look, you know, we've been there, having made promises, we've broken all of them, and we ought to resign, or you ought to resign",AS,
"Oh Look Natalie.Behave, come on.Natalie look, look.",DIR,
"realism of the outputs I, I think what you're saying is, look, these might be okay but this one isn't",AS,
Look! They've all opened out. Can you see all the new little leaves on the conker tree? ,DIR,
"right I'm pleased [laugh] pleased to introduce to us, er, er against all these difficulties and the nearer you are at the front the better, there's all stuff here look",DIR,
"But I said, well look, I think I'd better put it in my bag, don't you, it won't do any harm there.",AS,
"look, this is one we're introducing this is the way we in in intend to use it.",AS,
Look forgive me and were the first of the two troops going in through that door.,AS,
"Look, I understand your concerns — let's present a clear, logical case for why this approach will benefit our company. By doing so, he gained support from peers and supervisors alike.",DM,
"But do you agree that we should put diplomatic pressure that George Bush should, the Europeans should, Douglas Hurd should, and say look guys whatever you do, if it, though were prepared to recognise you as an independent state, don't take it out on the Russians?",AS,
 He paid a debt which he did not owe because we are a debt that we will never be able to pay.,DIR,
"Look, there's your little spade.",DIR,
"Look and he's gone, up through there.",DIR,
 Look if I take my hair off  I'm gonna finish up with an old girl with a bloody Zimmer frame.,AS,
Look do you want to write on there and work that out.,AS,
the kids said gosh look how many of these bus drivers are women and i said you know that really is a good indication of some of the jobs that have been,DIR,
and then say well look the reason why I'm here is this,AS,
"They should have got the solicitors in and said ‘look you've no rights to have been here, you walked on this common land without any permission at all, you built these",AS,
All right well look I I you've er sort of selected and I I've got no problem with that although schools er I would have thought was ideal for as well as medical.,AS,
"Look s s seriously the point the point I'm making is that for for most jobs of an average sort of size, what happens under A C E scale fees as I understand it, if I'm wrong I'm I stand corrected.",AS,
"So we'll be saying, look these are the core sizes,",INTJ,
"Oh look, there's your spade, darling!",INTJ,
" they're starting to open.  Yeah Im just.  Look Grant, in a few days time ",AS,
Look no let me just tell you what the,DM,
and you know i said to her well look you know if you feel you got to go go but i- i think a thousand dollars these guys i don't know what it is but there's no doubt they get kickbacks to fill these machines up night and day,AS,
"That's one skill thought about it, isn't there, there's another idea that doing that is actually, has the opposite effect, but the only, you praise somebody, when you're criticising, you say, well look you've well anyway.",AS,
and Bobby did you see Moira last night? And look! Look! And how is she? ,AS,
"The this problem with the detector, it's another level of subcontracting down  and er  if you you're buying a piece of equipment of this kind from a  a consortium  er essentially you can't dictate to him precisely who he's going to use to supply the components for that system and er it is  the problem came to the notice of officials when the consortium came forward and and said look, we we've got these terms in our contract er concerning  detection range and so on and er we may not be able to meet those, er so we questioned the reasons and  then of course they revealed that they were having problems with the supplier.",AS,
oh Bobby1 difference? LOOK let me get me tights. There's some tights.,AS,
"Well look, if if  you're wanting the next thing to do, I mean you've done that for seventh year",AS,
LOOK! A Son of a White Horse  that your book from France mummy bought you ,DIR,
[laughter] and as near as i could tell seeing that was basically {antimetric} propaganda cause anyone who would say well look i can either buy a pound of something at four hundred sixty four point six grams which of course they couldn't weigh it out accurately anyway um,AS,
no apparently not because look how many years they've been doing that and look [laughter] i mean yeah,AS,
"I rang yesterday I said, well look we've got the okay to palletize it now and he's quite happy about that.",AS,
"So if you've got teenagers, sometimes you've kindly got to say to them, look just go away, I want to be quiet, sitting reading my book or whatever.",AS,
Look every time we've done it  that's what we also do it goes out on the manager's report w with the minutes or with the agenda.,AS,
"All that's doing is for the senior associates, saying well look, I've got such a large client bank I can't service them myself, so what should I be thinking of doing?",AS,
[noise] you know if we don't want that to happen all we have to do is just call the phone company and say look you know i want my name unlisted or i want my you know,AS,
Look the maket's not very good I know but,AS,
you know i don't know why they don't unless you have to spend a certain amou[nt]- i don't know but i notice that some of them don't even. look you know they just slide it in there and pass it back to you,AS,
"It's quite funny really because er I used to go off I had an agreement with the headmaster at that particular time and he'd h I'd been a full time teacher with him, and he needed somebody desperately, that was the only reason obviously he wanted me back, and er I said Well look I can come back but I can't get back in order to go to the assembly at first.",AS,
"But I said to Anne, Look I think you better get a doctor.",DM,
"So that's [clears throat] well, before we can go in, launch into this, I mean it's often said that erm, er, well, one of the major reasons why agricultural commodity trade hasn't been included in GATT, like virtually every other er, product has been, is because governments are saying, look this is a domestic policy, it's got nothing to do with international trade, we're supporting our farmers, it's a domestic policy.",AS,
"I keep saying to him, look Colin, I said",DIR,
"n order to ha to achieve one's goals, are you saying that how look well you've just got to assume that they were wrong  that they didn't mean what they said?",AS,
You say well look I'm gonna approach this guy what sort of business are you gonna put his way or can you put his way.,AS,
[shouting] Look!,DIR,
"look, Have you been stealing your father's socks?",AS,
you know look really,AS,
"Now here he is, look, see?",DIR,
"They will put their product before the public and say look come and stay at our hotel, come and place your caravan in our camping site and that's what we're after.",AS,
"And whether it's male or female, so, number eight, and in fact, number nine as well, because number nine was that couple of questions I said look don't get confused, they are actually  [clears throat]",DM,
No I haven't done anything yet I'm on. Look I can't do it!,AS,
"Er and so er, look I'm gonna make a profit of nineteen hundred.",AS,
Look I cannot conceive of development taking place on this land without coming into conflict with those policies.,AS,
"I mean, James Frazer would have read her novel, cos I think that's all you can call it, Coming of Age in Samoa, because it's mainly fictional, he would've read her novelistic account, and then he would have compared it with other accounts, which had been published in German and other languages, and accounts of, of Samoans themselves, and he would have said, look there's something wrong here.",AS,
Look four shared out between twelve,AS,
"Essentially what you're saying is that a teacher who's actually teaching you ought to be able to say to that teacher ‘look, here's a package, if you like, that you can insert into your range of skills, and these are of things that you can do with children which are worthwhile doing and fairly easily for you to acquire skills yourself, and they will be very good and helpful for the children’.",DIR,
"Okay well I tell you what, look if you'd like to stay on the line, I'm obviously not exactly floundering but I haven't got an answer off pat",AS,
"Had Darwin known about this you see Darwin could have turned on his critics and said, look, in the first place you're quite wrong about genetics, there is no  or at least there doesn't have to be  because mutations occur as errors or changes in the base sequences in, in the genetic code.",AS,
"Er but in our London office, apparently they do a lot of inheritance tax planning because of the size of estates, and they actually invite the children in, and say to the children look, you know, if erm you die, the estate will be devalued by forty thousand because of tax, er if you want to make provision the, the er the contract is still written on the erm, the erm individuals' lives, but it can then be erm  paid by the children, so your children can then pay the premiums.",AS,
"Yes he's built a business up and I'm not denying him that er or anything at all, But somehow now er I don't know whether the wheel is turning too fast for him to co keep up with it or whether it's erm oh never mind the erm the industry of the locality, providing the money stakes a I know every business has got to pay for itself and that we we're not, If this quarry was on the down grade and er er somebody had come to us said, look unless you take a drop in your wages er we can't survive that would be a different issue altogether.",AS,
